mjsdxxb12q3bA01	16的平方根是（)<br/>
mjhsfzzzsjzkfx303	如图1，\\[\\Delta ABC\\]内接于\\[\\odot O\\]，\\[AD\\]平分\\[\\angle BAC\\]，交\\[\\odot O\\]于点D，交\\[BC\\]于点K，过\\[CB\\]延长线上一点\\[E\\]作\\[\\angle EAB=\\angle ACE\\]<br/>(1) 求证：\\[AE\\]为\\[\\odot O\\]的切线<br/>(2) 如图2，连\\[BD\\]，若\\[\\angle E=\\angle DAB\\]，<img src='http://qfile.bd.starclink.com/bigdata_q_mjhsfzzzsjzkfx303__img_0.png?t=1513040681875' style='width:107.99pt;height:30.75pt;max-width:100%;'/>求\\[\\odot O\\]的半径<br/>
mjhsfzzzsjzkfx304	某公司产销一种产品，为保证质量，每个周期产销商品件数控制在100以内，产销成本\\[C\\]是商品件数\\[x\\]的二次函数，调查数据如下表：<br/><img src='http://qfile.bd.starclink.com/bigdata_q_mjhsfzzzsjzkfx304__img_0.png?t=1513040257687' style='width:259.47pt;height:53.24pt;max-width:100%;'/><br/>商品的销售价格（单位：元）为\\[P=35-\\frac{1}{10}x\\]（每个周期的产销利润\\[=P\\cdot x-C\\]）<br/>(1) 直接写出产销成本\\[C\\]与商品件数\\[x\\]的函数关系式（不要求写出自变量的取值范围）<br/>(2) 该公司每个周期产销多少件商品时，利润达到220元？<br/>(3) 求该公司每个周期的产销利润的最大值.<br/>
pjkszyb8A4c7ks01	如图所示是投影仪成像示意图.其中凸透镜的作用是成_______（放大/等大/缩小）、______（正立/倒立）的实像，螺纹透镜的作用是_____.若图中\\[h\\]=40㎝，则凸透镜焦距不可能小于______㎝.<br/>
pjkszyb8A4c7ks02	夏天的早晨，树叶上常常会有一些露珠，透过这些露珠看到的叶脉会更清楚（如图），这是由于露珠相当于一个______镜，使叶脉放大了.这种情形下，叶脉位于该“镜”的_____________（二倍焦距以外/一倍焦距与二倍焦距之间/一倍焦距以内）.<br/>
pjkszyb8A4c7ks03	如图所示，将点燃的蜡烛放在_______点时，所成的实像最小；将蜡烛放在\\[c\\]点时，相当于________（填写光学仪器的名称）的工作原理.<br/>
pjkszyb8A4c7ks04	如图所示是王爷爷小孙女的照片，王爷爷用放大镜贴近照片所看到的像是             （    ）<br/>
pjkszyb8A4c7ks05	使用幻灯机时，在屏幕上得到的像是幻灯片上图案的（    ）<br/>
pjkszyb8A4c7ks06	教室里安装的电子白板投影仪，其镜头的焦距为15㎝，为了在白板上得到清晰地像，投影仪镜头到白板的距离应                                                  （    ）<br/>
pjkszyb8A4c7ks07	将一物体放在凸透镜前20㎝处，成倒立、等大的实像，如果将此物体向凸透镜移动5㎝，此时的成像规律是生活中_____的成像原理，成倒立、______的实像.<br/>
pjkszyb8A4c7ks08	小林在家里拿爷爷的放大镜做实验.第一次小林通过放大镜看到书上的字如图甲所示，此时他看到的是字的_____（实/虚）像；第二次小林通过放大镜看到书上的字如图乙所示，这是他看到的是字的_____（实/虚）像.从图甲到图乙的变化过程中，放大镜逐渐_____（靠近/远离）书本的.与图乙所反映的成像规律相同的光学仪器有______.<br/>
pjkszyb8A4c7ks09	如图所示，甲同学拿着焦距为10㎝的放大镜去看离他1.5m远处的乙同学，乙同学区通过放大镜看到了甲同学眼镜城正立、放大的虚像，则放大镜与甲同学的距离（     ）<br/>
pjkszyb8A4c7ks10	小明自制了一个简易投影仪，在暗室中将印有奥运五环标志的透明胶片贴在手电筒上，并让灯光正对着焦距为10㎝的凸透镜，调整手电筒、凸透镜和白色墙壁三者之间的距离，在墙上得到了一个正立、放大、清晰的像，如图所示.下列说法正确的是（    ）<br/>
pjkszyb8A4c7ks11	老师上课经常用到投影仪，如图所示.关于投影仪的使用，下列做法合理的是（    ）<br/>
pjkszyb8A4c7ks12	如图甲所示为16㎜电影放映机放电影，这种电影放映机使用宽度为16㎜的电影胶片，电影中的声音以声音信号的方式刻录在电影胶片上（如图乙所示）.电影放映机正常放映时，有关放映灯泡、放映机镜头（凸透镜）、电影胶片、反光镜（凸面镜或凹面镜）的种类及其相对位置关系，提出了下列图中所示的几种猜想，其中可能正确的是（    ）                                                                   <br/>
pjkszyb8A4c7ks13	老太太用放大镜看报纸，为了看到更大的清晰的像，应（    ）                       <br/>
pjkszyb8A4c8ks01	数码相机已在我们的生活中普及，照相机的镜头相当于一个______透镜.若照相机镜头的焦距为50㎜，则被拍照的人到镜头的距离应大于______㎜，会得到一个________的实像.<br/>
pjkszyb8A4c8ks02	如图所示的四幅图，有的能够说明近视眼或远视眼的成像原理，有的给出了近视眼或远视眼的矫正方法，能够说明远视眼的成像原理的是________图；表示矫正近视眼的是____图.<br/>
pjkszyb8A4c8ks03	来自于物体的光经过晶状体会聚在视网膜上，形成物体的像.下列说法中错误的是（    ）<br/>
pjkszyb8A4c8ks04	如图所示是利用航空摄影拍摄到的“世界天然花园”百里杜鹃景观，若拍摄时所用照相机的镜头焦距是60㎜，则胶片到镜头的距离应为（     ）<br/>
pjkszyb8A4c8ks05	如图所示为某款数码相机的成像原理，镜头相当于一个凸透镜，影像传感器相当于光屏.拍照时，将镜头对准景物，相机通过自动调节，就能得到能清晰的像.下列说法正确的是 （     ）<br/>
pjkszyb8A4c8ks06	在模拟近视眼的实验中，将蜡烛放在离凸透镜较远的位置，如图所示，给凸透镜“戴”上近视眼镜，此时光屏上能成一清晰的像；若“取”下近视眼镜，为使光屏上的像清晰，在保持烛焰和透镜位置不变的条件下，应该将光屏（    ）<br/>
pjkszyb8A4c8ks07	为了监控取款机前的实时情况，银行ATM自动取款机上方安装有一摄像头，摄像头的工作原理相当于_______透镜成倒立、_______的实像；当取款人逐渐靠近取款机时，他所成的像会逐渐_______（变大/不变/变小）.<br/>
pjkszyb8A4c8ks08	人的眼睛好像是一架照相机，它的晶状体和角膜共同作用相当于一个______透镜，它能把来自物体的光_____（会聚/发散）在视网膜上，形成物体的______（实/虚）像.<br/>
pjkszyb8A4c8ks09	如果来自远处某点的光经角膜和晶状体折射后所成的像落在视网膜______（前/后），该成像原理就是近视眼.矫正的方法是戴一副由_____（凸/凹）透镜片做的眼镜.矫正前成像离视网膜越远，所配的眼镜的“度数”越____。<br/>
pjkszyb8A4c8ks10	用手机自拍成为当下年轻人的时尚.手机的镜头相当于一个凸透镜，自拍时人离镜头的距离\\[u\\]和镜头焦距\\[f\\]的关系是（    ）<br/>
pjkszyb8A4c8ks11	如图所示是蜡烛通过凸透镜在光屏上的成像情况，以下器材利用这一成像原理的是 （     ）<br/>
pjkszyb8A4c8ks12	荣成烟墩角天鹅湖良好的生态环境，吸引上万只天鹅每年冬季成群结队悄然降临，栖息越冬，这期间有大批的摄影爱好者云集于此.如图是一名摄影爱好者所拍的照片，下列说法正确的是（  ）                                                     <br/>
pjkszyb8A4c8ks13	常见的实力缺陷有近视和远视两种.如图所示是一名实力缺陷人员的眼球成像示意图，它的视力缺陷类型及矫正视力需要戴的透镜种类分别是（  ）                          <br/>
pjkszyb8A4c8ks14	小希对下列光学成像实例进行了分析：①针孔照相机内所成的像、②潜望镜中看到的景物的像、③放大镜看到的物体的像、④幻灯机屏幕上所成的像、⑤照相机中所成的像，判断正确的是（    ）<br/>
pjkszyb8A4c8ks15	小华视物时成像情况如图所示，医生向她介绍激光手术：通过激光烧蚀厚度均匀的透明眼角膜，使之改变形状，实现视力矫正.手术后的眼角膜形状应为下图中的（    ）<br/>
pjkszyb8A4c8ks16	某同学正在“探究视力的矫正原理”，如图所示.在实验时观察到如下现象：<br/>①将眼镜甲放在蜡烛与凸透镜之间，光屏上原来清晰的像变得模糊，只有将光屏远离凸透镜移动时，才能在光屏上看到烛焰清晰的像.<br/>②将另一个眼镜乙放在蜡烛与凸透镜之间，光屏上原来清晰的像也变得模糊了，只有将光屏靠近凸透镜移动时，次啊能在光屏上看到烛焰清晰的像.<br/>（1）分析实验现象可知，甲、乙两个眼睛中，_____是凹透镜，_____是凸透镜.<br/>（2）在实验现象①和②中，属于远视眼矫正原理的是______；属于近视眼镜矫正原理的是______.（填实验现象代号）<br/>
mjkszyjsb7A5c3ks01	下列现象中，属于平移的是（   ）<br/>
mjkszyjsb7A5c3ks02	(2016·舟山)在下列“禁毒”“和平”“志愿者”“节水”这四个标志中，其中沿某一条直线折叠后，直线两旁的部分能够互相重合的图形是（   ）<br/><br/>
mjkszyjsb7A5c3ks03	如图，各组图形中，分别将第一个图形进行怎样的变化，就可以与第二个图形重合（填“平移”“旋转”或“翻折”）？<br/>
mjkszyjsb7A5c3ks04	（1）如图，图形2可以看成由图形1先向下平移______格，再向______平移  ______格得到；<br/>（2）(2016·呼和浩特)将“6”旋转180°，得到“9”，再将“9”旋转180°，得到“6”，现将“69”旋转180°，得到的是______.<br/>
mjkszyjsb7A5c3ks05	如图，把第一行的平面图形分别绕直线旋转一周，能形成第二行中的某个几何体.请把两行中对应的图形用线连接起来.<br/><br/>
mjkszyjsb7A5c3ks06	用数学的方式理解“当窗理云鬓，对镜贴花黄”和“坐地日行八万里”（只考虑地球的自转），其中蕴含的图形运动分别是（   ）<br/><br/>
mjkszyjsb7A5c3ks07	如图，将三角尺\\[a\\]向右运动，一次得到\\[b\\]、\\[c\\]、\\[d\\]、\\[e\\]，下列说法中，不正确的是（   ）<br/><br/>
mjkszyjsb7A5c3ks08	如图，正方形\\[ABCD\\]的边长为\\[a\\]，\\[E\\]、\\[F\\]分别是对角线\\[BD\\]上的两点，过点\\[E\\]、\\[F\\]分别作\\[AD\\]、\\[AB\\]的平行线，则图中阴影部分的面积之和为______.<br/><br/>
mjkszyjsb7A5c3ks09	按下列作图步骤，依次在图形\\[B\\]、\\[C\\]、\\[D\\]中涂色：<br/>（1）将图形\\[A\\]平移到图形\\[B\\]；（2）将图形\\[B\\]沿图中虚线翻折得到图形\\[C\\]；（3）将图形\\[C\\]沿其右下方的顶点旋转得到图形\\[D\\].<br/><br/>
mjkszyjsb7A5c3ks10	(2016·来宾改编)先将如图所示的图案中你认为的基本图案用阴影部分表示，再说出下列图案是由基本图案如何运动形成的.<br/>
mjkszyjsb7A5c3ks11	如图，将方格图中的阴影图形绕点\\[O\\]按顺时针方向依次旋转90°，会得到什么图形？请在图中画出来.<br/>
mjkszyjsb7A5c1ks01	埃及金字塔类似于几何体中的（   ）<br/>
mjkszyjsb7A5c1ks02	下列说法中，正确的是（   ）<br/>
mjkszyjsb7A5c1ks03	如果一个多面体的一个面是多边形，其余各面是有一个公共顶点的三角形，那么这个多面体叫作棱锥.如图是一个四棱柱和一个六棱锥，它们各有12条棱.下列棱柱和九棱锥的棱数相等的是（   ）<br/><br/>
mjkszyjsb7A5c1ks04	（1）如果一个八棱柱的一条侧棱长为5\\[cm\\]，那么该八棱柱的上、下底面都是_____边形，该八棱柱所有的侧棱长的和为_____\\[cm\\]；<br/>（2）如图，用一根丝带捆扎一个礼盒，如果打结处的丝带长40\\[cm\\]，那么捆扎这个礼盒至少需要_____\\[cm\\]的丝带.<br/>
mjkszyjsb7A5c1ks05	请将如图所示的几何体按特征进行分类.<br/>
mjkszyjsb7A5c1ks06	下列几何体中，有4个面的是（   ）<br/>
mjkszyjsb7A5c1ks07	下列几何体中，截面不可能是长方形的是（   ）<br/><br/>
mjkszyjsb7A5c1ks08	(2016·枣庄)有3块积木，每一块的各面都涂上不同的颜色，3块的涂法完全相同，现把它们摆放成不同的位置（如图），请你根据图形判断涂成绿色一面的对面的颜色是（   ）<br/><br/>
mjkszyjsb7A5c1ks09	(2016·东营改编)从棱长为2的正方体毛坯的一角，挖去一个棱长为1的小正方体，得到一个如图所示的零件，则这个零件的表面积等于_____，体积等于_____.<br/>
mjkszyjsb7A5c1ks10	如图，指出图中物体分别是由哪些几何体组成的..<br/>
mjkszyjsb7A5c1ks11	由平的面围成的几何体叫多面体，有几个面，就叫做几面体.面与面的交线叫做棱，棱与棱的交点叫做顶点.三棱锥有四个面，所以三棱锥又叫做四面体.正方体又叫做_____面体，有五条侧棱的棱柱又叫做_____面体.<br/>（1）探究：如果把一个多面体的顶点数记为\\[V\\]，面数记为\\[F\\]，棱数记为\\[E\\]，请完成下表：<br/>（2）猜想：通过上面的探究你能得到一个什么结论？<br/>（3）验证：在课本的插图中再找出一个多面体，数一数它有几个顶点、几个面和几条棱，看一看顶点数、面数、棱数是否仍然满足上述关系.<br/><br/>
mjkszyjsb8A6c4ks01	已知一个正比例函数，当自变量\\[x\\]的值为2时，对应的函数值\\[y\\]为\\[-3\\],则这个正比例函数为\	（\	）<br/>
mjkszyjsb8A6c4ks02	已知函数\\[y=2x+b\\],当\\[x=2\\]时\\[y=3\\]，则当\\[y=-5\\]时，\\[x\\]的值为（       ）<br/>
mjkszyjsb8A6c4ks0301	(2016•厦门）已知一次函数\\[y=kx+2\\],当\\[x=-1\\]时，\\[y=1\\]，那么此函数的表达式为__________________。<br/><br/>
mjkszyjsb8A6c4ks0302	已知\\[y\\]是\\[x\\]的正比例函数，且当\\[x=-1\\]时，\\[y=3\\]则当\\[x=2\\]时，\\[y\\]的值为_________。<br/>
mjkszyjsb8A6c4ks04	(2015•湖州）已知\\[y\\]是\\[x\\]的一次函数，当\\[x=3\\]时，\\[y=1\\];当\\[x=-2\\]时\\[y=-4\\]，,求这个一次函数的表达式。<br/>
mjkszyjsb8A6c4ks05	已知\\[y={{y}_{2}}-{{y}_{1}}\\]，其中\\[{{y}_{1}}\\]与\\[x\\]成正比例，\\[{{y}_{2}}\\]与\\[x+2\\]成正比例，当\\[x=-1\\]时\\[y=2\\]，当\\[x=2\\]时\\[y=10\\]。<br/>(1) 求\\[y\\]与\\[x\\]的函数表达式；<br/>(2) 当\\[x\\]取何值时，\\[y\\]的值为30?<br/>
mjkszyjsb8A6c4ks06	已知水银体温计的读数\\[y{{(}^{\\circ }}C)\\]与水银柱的长度\\[x(cm)\\]之间是一次函数关系。现有一支水银体温计，其部分刻度线不清晰(如图），表中记录的是该体温计部分清晰刻度线及其对应水银柱的长度。<br/>(1) 求\\[y\\]关于\\[x\\]的函数表达式；<br/>(2) 用该体温计测体温时，水银柱的长度为6.2\\[cm\\]，求此时体温计的读数.<br/>
mjkszyjsb8A6c4ks07	若一次函数\\[y=(k-2)x+17\\],当\\[x=-3\\]时\\[y=2\\]，则\\[k\\]的值为\	（\	）<br/>
mjkszyjsb8A6c4ks08	已知一次函数\\[y=kx+b\\],当\\[x\\]的值减少1时，\\[y\\]的值减少2,则当\\[x\\]的值增加2时，\\[y\\]的值（\	）<br/>
mjkszyjsb8A6c4ks09	已知\\[y-1\\]与\\[x\\]成正比例，当\\[x=2\\]时\\[y\\]的值为9,那么\\[y\\]与\\[x\\]之间的函数表达式为_________。<br/>
mjkszyjsb8A6c4ks10	已知函数\\[y=kx+b\\] (\\[k\\ ,b\\]是常数），当\\[x=-1,\\ 2\\]时，\\[y\\]的值分别是\\[-5,\\ 1\\]，当\\[x=1\\]时，求\\[y\\]的值。<br/>
mjkszyjsb8A6c4ks11	已知\\[y+3\\]与\\[x+2\\]成正比例，且当\\[x=3\\]时\\[y=7\\]：<br/>(1) 写出\\[y\\]与\\[x\\]之间的函数表达式；<br/>(2) 当\\[x=-1\\]时，求\\[y\\]的值；<br/>(3) 若\\[y\\]的取值范围为\\[-1\\le y\\le \\frac{1}{2}\\]，求\\[x\\]的取值范围。<br/>
mjkszyjsb8A6c4ks12	已知\\[y={{y}_{1}}+{{y}_{2}}\\]，其中\\[{{y}_{1}}\\]与\\[x\\]成正比例，\\[{{y}_{2}}\\]与\\[x-2\\]成正比例，且当\\[x=-1\\]时\\[y=2\\]；当\\[x=2\\]时\\[y=5\\]，求\\[y\\]与\\[x\\]之间的函数表达式。<br/>
mjkszyjsb8A6c4ks13	如图，两摞相同规格的饭碗整齐地叠放在桌面上，请根据图中所给的数据信息，解答下面的问题:<br/>(1) 求整齐摆放在桌面上饭碗的高度\\[y\\] (厘米)与饭碗数量\\[x\\] (个)之间的一次函数表达式；<br/>(2) 把这两摞饭碗整齐地摆成一摞时，这摞饭碗的高度是多少？<br/>
mjkszyjsb8A6c4ks03	填空：<br/>
mjjczxdsbfjs8A01	直角三角形两直角边为8和15，则斜边为__________。<br/>
mjjczxdsbfjs8A02	三边长为3、4、6，则这是____________三角形（选填直角、锐角或钝角）<br/>
mjjczxdsbfjs8A03	\\[A\\left( 1,-3 \\right)\\]沿\\[x\\]轴向左平移3个单位，再沿\\[y\\]轴向上平移5个单位后所得的点坐标为______。<br/>
mjjczxdsbfjs8A04	\\[B\\left( 0,-3 \\right)\\]关于\\[x\\]轴对称的点坐标为__________。<br/>
mjjczxdsbfjs8A05	\\[C\\left( x,1-x \\right)\\]在一、三象限坐标轴夹角平分线上，则\\[x=\\_\\_\\_\\_\\_\\_\\]。<br/>
mjjczxdsbfjs8A06	已知三角形三边分别为5，12，13，则这个三角形为______三角形。<br/>
mjjczxdsbfjs8A07	一个数的平方根等于它的算术平方根，则这个数为_________．<br/>
mjjczxdsbfjs8A0801	\\[\\left| -5\\frac{4}{9} \\right|\\]的平方根是_________；<br/>
mjjczxdsbfjs8A0802	\\[{{\\left( -2 \\right)}^{2}}\\]的算术平方根是_________．<br/>
mjjczxdsbfjs8A09	\\[a\\]取_____时,二次根式\\[\\sqrt{1-10a}\\]有意义. <br/>
mjjczxdsbfjs8A10	在平面直角坐标系中，点\\[P\\]的坐标为\\[\\left( 3,-1 \\right)\\]，将点\\[P\\]沿\\[y\\]轴负方向平移4个单位后得到点\\[{P}'\\]，则点\\[{P}'\\]的坐标为_____．<br/>
mjjczxdsbfjs8A1101	\\[a=\\_\\_\\_\\_\\_\\_\\]。<br/>
mjjczxdsbfjs8A1102	\\[b=\\_\\_\\_\\_\\_\\_\\_.\\]<br/>
mjjczxdsbfjs8A12	点\\[A\\left( -a,2a-3 \\right)\\]在第二、第四象限坐标轴夹角平分线上，那么\\[a=\\_\\_\\_\\_.\\]<br/>
mjjczxdsbfjs8A13	已知点\\[A\\left( 6-a,a+3 \\right)\\]在第一象限，\\[a\\]的取值范围________。<br/>
mjjczxdsbfjs8A14	线段\\[MN\\]是由线段\\[EF\\]经过平移得到的，若点\\[E\\left( -1,3 \\right)\\]的对应点\\[M\\]的坐标是\\[\\left( 2,5 \\right)\\]，则点\\[F\\left( -3,-2 \\right)\\]的对应点\\[N\\]的坐标是__________。<br/>
mjjczxdsbfjs8A15	已知点\\[A\\left( 3m-1,2m \\right)\\]和点\\[B\\left( -1,m+1 \\right)\\]，且直线\\[AB//x\\]轴，则\\[m=\\_\\_\\_\\_\\_\\_.\\]<br/>
mjjczxdsbfjs8A16	以\\[\\sqrt{3}\\]、\\[\\sqrt{5}\\]、\\[2\\sqrt{2}\\]为三边的三角形____________构成直角三角形。<br/>
mjjczxdsbfjs8A17	分别以下列四组数为一个三角形的边长：①6，8，10；②5，12，13；③8，15，17；④4，5，6，其中能构成直角三角形的有_______________（填序号）。<br/>
mjjczxdsbfjs8A18	若两个连续整数\\[x\\]，\\[y\\]满足\\[x< \\sqrt{5}+1< y\\]，则\\[x+y\\]的值是_________．<br/>
mjjczxdsbfjs8A1901	\\[a=\\_\\_\\_\\_\\_\\_\\]。<br/>
mjjczxdsbfjs8A1902	\\[b=\\_\\_\\_\\_\\_\\_\\_.\\]<br/>
mjjczxdsbfjs8A20	小华将直角坐标系中的猫的图案向右平移了3个单位长度，平移前猫眼的坐标为\\[\\left( -4,3 \\right)\\]、\\[\\left( -2,3 \\right)\\]，则平移后猫眼的坐标为___________________。<br/>
mjjczxdsbfjs8A21	化简\\[\\sqrt{\\frac{5}{18}}=\\_\\_\\_\\_\\_\\_\\_\\].<br/>
mjjczxdsbfjs8A22	直角三角形的两条直角边分别为5和12，则斜边是_____________.     <br/>
mjjczxdsbfjs8A23	一个直角三角形的两边分别为3和4，则斜边上的中线为_____________.         <br/>
mjjczxdsbfjs8A2401	这个三角形的形状是___________。<br/>
mjjczxdsbfjs8A2402	直角是_____________.<br/>
mjjczxdsbfjs8A2501	64的算数平方根_________。<br/>
mjjczxdsbfjs8A2502	立方根_____________.<br/>
mjjczxdsbfjs8A2601	点\\[A\\left( a,b \\right)\\]向左平移3个单位长度，再向下平移4个单位长度，得到点\\[B\\left( 1,-1 \\right)\\]，那么\\[a+b=\\_\\_\\_\\_.\\]<br/>
mjjczxdsbfjs8A2602	点\\[A\\left( 2m-1,1-m \\right)\\]在第三象限，那么<img src='http://qfile.bd.starclink.com/bigdata_q_mjjczxdsbfjs8A26__img_0.png?t=1513220018812' style='width:12.75pt;height:11.25pt;max-width:100%;'/>的范围是_____________.        <br/>
mjjczxdsbfjs8A2701	\\[a=\\_\\_\\_\\_\\_\\_\\_\\_\\]。<br/>
mjjczxdsbfjs8A2702	点\\[P\\]的坐标__________.<br/>
mjjczxdsbfjs8A2801	\\[x=\\_\\_\\_\\_\\_\\]。<br/>
mjjczxdsbfjs8A2802	\\[x=\\_\\_\\_\\_\\_\\]。<br/>
mjjczxdsbfjs8A29	在\\[\\text{Rt}\\vartriangle ABC\\]中，\\[BC=9,AC=12,\\angle C={{90}^{\\circ }}\\],求\\[AB\\]的值。<br/>
mjjczxdsbfjs8A30	下列三角形是直角三角形吗？为什么？<br/>
mjjczxdsbfjs8A31	如图，四边形\\[ABCD\\]中，\\[AB=9\\text{m},BC=12\\text{m},CD=20\\text{m},AD=25\\text{m}\\]，\\[\\angle B={{90}^{\\circ }}\\]．求四边形\\[ABCD\\]的面积．<br/>
mjjczxdsbfjs8A32	在\\[\\text{Rt}\\vartriangle ABC\\]中，\\[AB=c,BC=a,AC=b,\\angle B={{90}^{\\circ }}\\]，已知\\[b=3\\sqrt{2}\\],\\[c=4\\] ,求\\[a\\]。<br/>
mjjczxdsbfjs8A33	若\\[x\\]，\\[y\\]都是实数，且\\[y=\\sqrt{x-3}+\\sqrt{3-x}+8\\]，求\\[x+y\\]的值．<br/>
mjjczxdsbfjs8A34	解方程：<br/>（1）\\[25{{x}^{2}}-64=0\\]\	\	\	<br/>（2）\\[{{\\left( x-1 \\right)}^{3}}+8=0\\]\	\	<br/>（3）\\[9{{\\left( y+2 \\right)}^{2}}-16=0\\]\	\	\	<br/>（4）\\[81{{\\left( x-1 \\right)}^{2}}-25=0\\]<br/>
mjjczxdsbfjs8A35	计算：<br/>（1）\\[-\\sqrt{3\\frac{1}{16}}+\\sqrt{4}\\]\	\	<br/>（2）\\[\\sqrt{\\frac{144}{49}}\\times \\sqrt{\\frac{9}{144}}\\]\	\	<br/>（3）\\[{{\\left( \\sqrt{2}+1 \\right)}^{0}}-{{2}^{-1}}-\\sqrt{\\frac{1}{2}}+\\left| -\\sqrt{2} \\right|\\]；<br/>（4）\\[\\left( 6\\sqrt{\\frac{3}{2}}-5\\sqrt{\\frac{1}{2}} \\right)\\left( \\frac{1}{4}\\sqrt{8}-\\sqrt{\\frac{2}{3}} \\right)\\]\	\	<br/>（5）\\[3\\sqrt{-8}-3\\sqrt{{{\\left( -1 \\right)}^{3}}}+\\sqrt{9}\\]\	<br/>（6）\\[\\sqrt{80}-\\sqrt{20}+\\sqrt{5}\\]<br/>（7）\\[\\left( 1-2\\sqrt{3} \\right)\\left( 1+2\\sqrt{3} \\right)-{{\\left( 1+\\sqrt{3} \\right)}^{2}}\\]<br/>
mjjczxdsbfjs8A36	直角三角形两边为9和40，求第三边.<br/>
mjjczxdsbfjs8A25	完成以下填空：<br/>
mjjczxdsbfjs8A27	已知点\\[P\\left( 1-2a,a-2 \\right)\\]在第三象限的角平分线上，则：<br/>
mjjczxdsbfjs8A08	完成以下填空：<br/>
mjjczxdsbfjs8A24	三角形的三边记作<img src='http://qfile.bd.starclink.com/bigdata_q_mjjczxdsbfjs8A24__img_0.png?t=1513220010203' style='width:30.00pt;height:15.75pt;max-width:100%;'/>,并且满足\\[\\left| a-3 \\right|+{{\\left( b-5 \\right)}^{2}}+\\sqrt{c-4}=0\\]，那么：<br/>
mjjczxdsbfjs8A11	已知点\\[P\\left( a,-4 \\right),Q\\left( 5,b \\right)\\]且\\[PQ//y\\]轴，则：<br/>
mjjczxdsbfjs8A26	完成以下填空：<br/>
mjjczxdsbfjs8A28	求出下列直角三角形中未知边的长度：<br/>
mjjczxdsbfjs8A19	点\\[A\\left( -1,2a \\right)\\]关于\\[x\\]轴对称点\\[B\\]的坐标是\\[\\left( 3b,4 \\right)\\]则：<br/>
hjkszyb8A6c19k01	某历史学家认为：“卢沟桥事变只不过是一个更大图谋的开端而已。”这个“更大图谋”指日本（　　）<br/>
hjkszyb8A6c19k02	某同学想了解中国全民族抗战开始的标志性事件，应向他推荐（　　）<br/>
hjkszyb8A6c19k03	右图所示军队的军长是（　　）<br/>
hjkszyb8A6c19k04	1937年9月，国民党中央通讯社公开发表了中共中央提交的国共合作宣言，蒋介石也发表谈话，承认中国共产党的合法地位。这标志着（　　）<br/>
hjkszyb8A6c19k05	1937年8月13日，日军制造八一三事变，进攻（　　）<br/>
hjkszyb8A6c19k06	在淞沪会战中率全营守卫宝山，与日军苦战3天，最后壮烈牺牲的英雄人物是（　　）<br/>
hjkszyb8A6c19k07	1937年南京沦陷后，被国民政府作为战时陪都的城市是（　　）<br/>
hjkszyb8A6c19k08	在日军制造的南京大屠杀事件中遇难的中国人达（　　）<br/>
hjkszyb8A6c19k09	阅读下列材料：<br/>材料一    卢沟桥，卢沟桥，男儿坟墓在此桥！委屈忍痛和平保，无可避免上刺刀；自卫应战理气壮，挺剑而起是今朝！卢沟桥，卢沟桥，为国争光在此桥！<br/>卢沟桥，卢沟桥，男儿坟墓在此桥！豺狼入室露牙爪，南北隳突真逍遥；快快拼起民族命，最后胜利是吾曹！卢沟桥，卢沟桥，立功报国在此桥！<br/>一一《卢沟桥歌》<br/>材料二    平津危急！华北危急！中华民族危急！只有全民族实行抗战，才是我们的出路！……武装保卫平津，保卫华北！……全中国同胞、政府与军队，团结起来，筑成民族统一战线的坚固长城，抵抗日寇的侵略！<br/>——中共抗日通电<br/>请回答：<br/>（1）阅读材料一，说出这首战歌的创作背景。写出两位在卢沟桥抗战中“为国争光”“立功报国”的好男儿。<br/>（2）材料二中情形的产生与材料一有什么关系？通电反映了中共对抗日的态度是怎样的？<br/>（3）面对日本咄咄逼人之势，中华民族各个阶层采取了怎样的应对方式？<br/>
mjhsfzzzsjzkfx401	如图，点\\[I\\]和\\[O\\]分别是\\[\\vartriangle ABC\\]的内心和外心，则\\[\\angle AIB\\]和\\[\\angle AOB\\]的关系为（    ）<br/>
mjhsfzzzsjzkfx402	如图，扇形\\[AOD\\]中，\\[\\angle AOD={{90}^{\\circ }}\\]，\\[OA=6\\]，点\\[P\\]为弧\\[AD\\]上任意一点（不与点\\[A\\]和\\[D\\]重合），\\[PQ\\bot OD\\]于\\[Q\\]，点\\[I\\]为\\[\\vartriangle OPQ\\]的内心，过\\[O\\]，\\[I\\]和\\[D\\]三点的圆的半径为\\[r\\]. 则当点\\[P\\]在弧\\[AD\\]上运动时，\\[r\\]的值满足（    ）<br/>
mjhsfzzzsjzkfx403	如图，在\\[\\odot O\\]中，半径\\[OA\\bot \\]弦\\[BC\\]，\\[\\angle AOB={{50}^{\\circ }}\\]，则圆周角\\[\\angle ADC=\\_\\_\\_\\_\\_\\_\\_\\_.\\]<br/>
mjhsfzzzsjzkfx404	一个扇形的弧长是\\[20\\pi \\text{cm}\\]，面积是\\[240\\pi \\text{c}{{\\text{m}}^{\\text{2}}}\\]，则扇形的圆心角是_______．<br/>
